Last name,First name,MI/name,Regiment,Company,Place of birth,Enlistment date,Enlistment location,Residence,Age,Occupation,Marital status,Complexion,Wounded,Died in service,Muster out date,Sign name,Substitue,Substitute for,Box,Folder,Notes
Bell,Edward,,30,,Pennsylvania,2/17/1864,Bridgeport,,21,Waiter,Single,Black,,,,true,false,,1,2,
Bell,Henry,,29,K.,"Milford, Pennsylvania",1/7/1864,New Haven,Groton,19,Hostler,,Black,,,,true,false,,1,2,
Bell,James,,30,F.,New Jersey,3/19/1864,New Haven,Portland,40,Waiter,,Black,,,,true,false,,1,2,
Bell,Jerry,,30,C.,"Frankford, Missouri",1/25/1864,New Haven,Guilford,20,Baker,,Black,,,,false,false,,1,2,
Bell,John,,31,,Virginia,11/5/1864,Norwich,,22,Waiter,,Colored,,,,false,true,George Morse of Woodstock,1,2,
Benjamin,Henry,,30,D.,"Hartford, Connecticut",2/13/1864,Hartford,Hebron,26,Farmer,Unmarried,Black,,,,false,false,,1,2,
Bennis,John,,29,,California,4/18/1864,Bridgeport,,27,Sailor,Single,Black,,,,false,false,,1,2,
Benson,John,,29,,South Carolina,8/31/1864,Norwich,,40,Sailor,,Colored,,,,false,true,James H. Reayof Canterbury,1,2,
Benson,Samuel,,29,F.,"Passaic, New Jersey",12/24/1863,Bridgeport,,26,Laborer,Married,Black,,,,false,false,,1,2,
Benson,Samuel,,30,B.,"Jamaica, New York",1/12/1864,Bridgeport,,45,Whitewasher,Married,Black,,,,false,false,,1,2,
Benson,Thomas,,29,,"Passaic, New Jersey",12/24/1863,Bridgeport,,25,Laborer,Married,Black,,,,false,false,,1,2,
Bentley,Charles,,29,A.,"Harpers Ferry, Virginia",12/9/1863,New Haven,New Haven,38,Laborer,,Black,,,,false,false,,1,2,
Bentley,John,,30,B.,"St. Michael, Maryland",1/11/1864,Norwich,,20,Farmer,,Colored,,,,false,false,,1,2,
Berdan,Spencer,,30,D.,"Verdan Mills, Delaware",2/4/1864,New Haven,Hamden,24,Farmer,,Black,,,,false,false,,1,2,
Best,Henry,S.,29,I.,"Hudson, New York",1/5/1864,Hartford,Glastonbury,38,Laborer,Married,Black,,,,true,false,,1,2,
Billings,Peter,H.,29,H.,"Hackensack, New Jersey",12/30/1863,New Haven,Milford,37,Farmer,,Black,,,,false,false,,1,2,
Blackson,Thomas,M.,29,K.,"Christiana, Delaware",1/7/1864,New Haven,,21,Waiter,,Black,,,,true,false,,1,2,
Blake,George,H.,29,,New York,11/22/1864,Hartford,Suffield,38,Farmer,Unmarried,Black,,,,false,false,,1,2,
Blake,George,H.,30,C.,"Delaware County, Pennsylvania",2/18/1864,Norwich,,37,Farmer,,Colored,,,,false,false,,1,2,
Blake,Matthias,,29,G.,"New York, New York",1/5/1864,Bridgeport,,38,Teamster,Single,Black,,,,true,false,,1,2,
Blane,Simeon,,29,A.,New York,12/7/1863,New Haven,,45,Hostler,Married,Black,,,,false,false,,1,2,
Bledsaw,David,,30,D.,North Carolina,2/9/1864,Hartford,Canton,40,Blacksmith,Unmarried,Black,,,,false,false,,1,2,
Bode,George,W.,30,F.,"Pittsburg, Pennsylvania",3/31/1864,Hartford,Southington,40,Cook,Unmarried,Dark,,,,true,false,,1,2,
Bowen,Robert,,29,A.,North Carolina,11/23/1863,Hartford,Hartford,21,Farmer,Married,Black,,,,false,false,,1,2,
Bowie,William,H.,29,G.,North Carolina,1/5/1864,New Haven,New Haven,33,Blacksmith,,Dark,,,,false,false,,1,2,
Bowman,John,H.,29,,Canada,12/23/1864,Hartford,Mansfield,28,Laborer,Unmarried,Black,,,,false,false,,1,2,
Boyer,William,H.,29,E.,"Lawrenceville, New Jersey",12/23/1863,Norwich,,25,Farmer,,Colored,,,,true,false,,1,2,
Boyd,George,W.,29,E.,"Annapolis, Maryland",12/22/1863,Norwich,,21,Farmer,,Colored,,,,false,false,,1,2,
Boyd,John,W.,29,E.,"Butler, Pennsylvania",12/19/1863,Hartford,Suffield,21,Farmer,Unmarried,Black,,,,false,false,,1,2,
Boyer,Theodore,,29,E.,"Birmingham, New Jersey",12/23/1863,Norwich,,30,Farmer,,Colored,,,,false,false,,1,2,
Broadhead,John,,29,E.,"Norwich, Connecticut",11/14/1864,Norwich,Norwich,23,Farmer,Married,Colored,,,,true,false,,1,2,
Branson,Charles,,29,F.,"Washington, D.C.",12/17/1863,Hartford,Enfield,21,Hostler,Unmarried,Black,,,,false,false,,1,2,
Bray,John,,29,A.,"Norfolk, Virginia",11/23/1863,New Haven,New Haven,28,Carpenter,,Black,,,,false,false,,1,2,
Brent,John,,30,,"Alexandria, Virginia",2/22/1864,New Haven,Seymour,19,Laborer,,Black,,,,true,false,,1,2,
Brewster,Amos,,29,I.,"Griswold, Connecticut",1/4/1864,Norwich,,30,Farmer,,Colored,,,,true,false,,1,2,
Brewster,James,W.,29,I.,"Kent, Connecticut",1/4/1864,New Haven,Hamden,20,Laborer,,Black,,,,true,false,,1,2,
Brewster,John,,29,H.,"Coxsackie, New York",12/30/1863,Hartford,Tolland,28,Farmer,Married,Black,,,,false,false,,1,2,
Brewster,Merrick,,29,C.,"Winchester, Connecticut",12/11/1863,Hartford,Hartford,21,Farmer,UnMarried,Black,,,,false,false,,1,2,
Brewster,Worthy,H. E.,29,A.,"Granby, Connecticut",11/19/1863,Hartford,Hartford,44,Chair seater,Married,Black,,,,true,false,,1,2,
Bringmid,Orlando,,30,D.,"Hanley, Pennsylvania",3/16/1864,Hartford,Simsbury,29,Farmer,Unmarried,Black,,,,false,false,,1,2,
Brinsmade,Willis,,29,F.,"Milford, Connecticut",12/18/1863,Hartford,Milford,18,Blacksmith,,Black,,,,true,false,,1,2,
Bristol,William,H.,29,F.,Maryland,1/4/1864,Hartford,Glastonbury,19,Farmer,Unmarried,Black,,,,false,false,,1,2,
Brokar,Peter,,29,F.,"Millston, New Jersey",12/23/1863,Norwich,,20,Farmer,,Colored,,,,false,false,,1,2,
Brooks,Elias,,29,A.,"Milford, Maine",12/10/1863,New Haven,,26,Laborer,,Black,,,,false,false,,1,2,
Brooks,George,,31,,Canada,12/13/1864,Bridgeport,,23,Cooper,,Black,,,,true,true,"George L. Beardsley, Watertown",1,2,
Brown,Alexander,,29,,Maryland,9/5/1864,Bridgeport,,22,Laborer,Single,Black,,,,false,false,,1,2,
Brown,Asbery,,29,C.,New York,12/2/1863,New Haven,New Haven,20,Hostler,Single,Black,,,,false,false,,1,2,
Brown,Charles,,29,,Calcutta,11/30/1864,New Haven,,21,Waiter,Single,Black,,,,true,false,,1,2,
Brown,Charles,,29,,"Galatin, New York",12/29/1863,Bridgeport,,39,Laborer,Married,Black,,,,false,false,,1,2,
Brown,Charles,,29,G.,New York,12/23/1863,Bridgeport,,18,Farmer,Single,Black,,,,true,false,,1,2,
Brown,Charles,,29,E.,"Salisbury, Connecticut",1/4/1864,Bridgeport,,18,Farmer,Single,Black,,,,false,false,,1,2,
Brown,Charles,F.,29,A.,"Meriden, Connecticut",11/30/1863,New Haven,New Haven,21,Farmer,Single,Black,,,,true,false,,1,2,
Brown,David,,30,B.,"South County, Massachusetts",12/9/1863,Hartford,,21,Farmer,Unmarried,Black,,,,false,false,,1,2,
Brown,David,R.,30,D.,"Silver Lake, New York",2/9/1864,New Haven,New Haven,26,Waiter,Single,Black,,,,true,false,,1,2,
Brown,Elbert,,29,B.,"Ridgefield, Connecticut",12/15/1863,Bridgeport,,18,Farmer,Single,Black,,,,false,false,,1,2,
Brown,Empson,,29,C.,"Chester County, Pennsylvania",12/14/1863,New Haven,Suffield,41,Laborer,,Black,,,,true,false,,1,2,
Brown,Ephraim,,30,K.,Craven Co. South Carolina,3/5/1864,New Haven,Orange,23,Farmer,,Black,,,,false,false,,1,2,
Brown,George,,30,,"Norfolk, Virginia",2/22/1864,New Haven,Seymour,22,Laborer,,Black,,,,false,false,,1,2,
Brown,George,,29,C.,"New Orleans, Louisiana",12/9/1863,Hartford,Simsbury,19,Hostler,Unmarried,Black,,,,false,false,,1,2,
Brown,George,A.,29,,"Barkhamsted, North Carolina",10/7/1864,Bridgeport,,21,Steward,Single,Black,,,,true,false,,1,2,
Brown,George,,29,H.,"Lehigh County, Pennsylvania",1/1/1864,Bridgeport,,32,Boatman,Married,Black,,,,true,false,,1,2,
Benson,Giles,,30,D.,"East Hartford, Connecticut",2/2/1864,New London,,29,Laborer,,Dark,,,,true,false,,1,2,
Brown,Hiram,K.,30,C.,"Augsuta, New York",1/9/1864,Hartford,Hartford,37,Jobber,Married,Black,,,,true,false,,1,2,
Brown,Jacob,L.,29,E.,New York,12/17/1864,Hartford,East Harford,41,Farmer,Married,Black,,,,false,false,,1,2,
Brown,James,,29,,"Prince George County, Georgia",6/27/1864,New Haven,Orange,21,Farmer,,Black,,,,false,false,,1,2,
Brown,Jerome,,29,I.,"Bedford, New York",1/4/1864,Bridgeport,,23,Laborer,Single,Black,,,,false,false,,1,2,
Brown,John,,29,,Canada,12/10/1864,Hartford,Glastonbury,27,Tobacconist,,Mulatto,,,,false,false,,1,2,
Brown,John,,29,,Virginia,10/25/1864,New Haven,,28,Farmer,,Black,,,,false,true,"Charles W. Allen , New Haven",1,2,
Brown,John,,29,,Connecticut,8/19/1864,Hartford,,18,Farmer,,Black,,,,false,true,Grove G. Case of Bristol,1,2,
Brown,John,,29,I.,"Salisbury, Connecticut",1/4/1864,Bridgeport,,21,Laborer,Single,Black,,,,false,false,,1,2,
Brown,John,,31,,North Carolina,12/20/1864,Hartford,,27,Farmer,,Black,,,,false,true,Samuel G. Chickering of Hartford,1,2,
Brown,John,,30,B.,"Piermont, New York",1/12/1864,Hartford,,25,Laborer,Unmarried,Black,,,,true,false,,1,2,
Brown,John,,30,C.,"Philadelphia, Pennsylvania",1/22/1864,New Haven,,40,Merchant,,Black,,,,true,false,,1,2,
Brown,John,,30,D.,"Somersville, Virginia",2/15/1864,Hartford,Vernon,42,Black Smith,Unmarried,Black,,,,false,false,,1,2,
Brown,John,,29,G.,"White Plains, New York",12/28/1863,Bridgeport,,23,Farmer,Single,Black,,,,false,false,,1,2,
Brown,John,F.,30,D.,New Jersey,2/11/1864,Bridgeport,,26,Sailor,Married,Black,,,,true,false,,1,2,
Brown,John,H.,29,F.,"Harrisburg, Pennsylvania",12/23/1863,Norwich,,24,Laborer,,Colored,,,,false,false,,1,2,
Brown,Joseph,J.,30,C.,"Lenox, Massachusetts",1/25/1864,New Haven,Chatham,30,Porter,,Black,,,,true,false,,1,2,
Brown,Joseph,P.,29,I.,"Plainfield, Connecticut",12/31/1863,Norwich,,24,Farmer,,Colored,,,,false,false,,1,2,
Brown,Mills,,29,,North Carolina,9/21/1864,Norwich,,19,Laborer,,Colored,,,,false,true,George Sweet of Canterbury,1,2,
Brown,Samuel,R.,29,E.,South America,12/17/1863,New Haven,Meriden,29,Barber,,Black,,,,true,false,,1,2,
Brown,Thomas,,29,,Canada,12/24/1864,New Haven,,20,Hostler,Single,Black,,,,true,false,,1,2,
Brown,Thomas,,29,,South Carolina,1/17/1865,New Haven,Waterbury,36,Waiter,Married,Black,,,,false,false,,1,2,
Brown,Thomas,L.,29,G.,"White Plains, New York",12/28/1863,Bridgeport,,26,Laborer,Married,Black,,,,true,false,,1,2,
Brown,Thomas,W.,30,,"Williamsburg, New York",3/28/8164,Bridgeport,,32,Laborer,Married,Black,,,,true,false,,1,2,
Brown,William,,29,H.,"Little Falls, New Jersey",1/13/1864,Hartford,Avon,28,Carman,Married,Black,,,,true,false,,1,2,
Brown,William,,29,,"Alexandria, Virginia",6/13/1864,New Haven,Orange,19,Laborer,,Black,,,,false,false,,1,2,
Brown,William,,30,B.,"Washington, D.C.",1/22/1864,Norwich,,28,Farmer,,Colored,,,,false,false,,1,2,
Brown,William,H.,29,F.,"Baltimore, Maryland",12/22/1863,Norwich,,20,Waiter,,Colored,,,,false,false,,1,2,
Brown,William,H.,29,H.,"Plainfield, Connecticut",12/31/1863,Norwich,,18,Farmer,,Colored,,,,false,false,,1,2,
Brunk,Thomas,,30,B.,"Cooks Island, New York",1/13/1864,Hartford,Mansfield,44,Laborer,Married,Black,,,,false,false,,1,2,
Bryant,John,,29,A.,"Newburgh, New York",1/5/1864,Hartford,Glastonbury,21,Laborer,Married,Black,,,,true,false,,1,2,
Buck,Charles,B.,29,,"Columbia, Connecticut",9/2/1864,Norwich,,20,Laborer,,Colored,,,,true,false,,1,2,
Buck,James,,30,C.,"Windham, Connecticut",1/13/1864,Windham,New London,18,Farmer,,Black,,,,false,false,,1,2,
Buck,Miles,,30,,"Cincinnati, Ohio",3/24/1864,New Haven,Hamden,19,Laborer,,Black,,,,true,false,,1,2,
Buell Jr.,William,,29,B.,"Willington, Connecticut",12/9/1863,Hartford,Columbia,18,Farmer,Unmarried,Black,,,,false,false,,1,2,
Buffington,Lewis,,29,,Arkansas,1/13/1865,Hartford,,21,Farmer,,Mulatto,,,,false,true,Thomas G. Hinckley of Hartford,1,2,
Burden,Samuel,,29,K.,Virginia,1/9/1864,Hartford,Mansfield,18,Farmer,Unmarried,Black,,,,false,false,,1,2,
Bunnell,Henry,H.,29,A.,"Litchfield, Connecticut",12/12/1863,New Haven,New Haven,19,Laborer,,Black,,,,true,false,,1,2,
Burton,William,,29,B.,Pennsylvania,12/9/1863,Norwich,,18,Laborer,,Colored,,,,false,false,,1,2,
Burns,James,,29,G.,Virginia,12/29/1863,Bridgeport,,25,Laborer,Single,Black,,,,false,false,,1,2,
Burr,George,W.,29,I.,"Bridgeport, Connecticut",1/5/1864,Hartford,Glastonbury,22,Teamster,Married,Black,,,,true,false,,1,2,
Burr,Thomas,,29,B.,"Croton Falls, New York",12/11/1863,New Milford,New Milford,21,Laborer,Single,Black,,,,false,false,,1,2,
Burris,William,,29,B.,"Somers County, Tennessee",12/10/1863,Norwich,,25,Laborer,,Colored,,,,false,false,,1,2,
Burton,Augustus,,29,B.,"Norwalk, Connecticut",12/4/1863,Bridgeport,,34,Seaman,,Black,,,,false,false,,1,2,
Burton,George,,29,,"Accomac, Virginia",1/11/1864,New Haven,East Haven,23,Oysterman,,Black,,,,false,false,,1,2,
Bush,Nelson,,29,F.,"Hyde Park, New York",8/11/1863,New Haven,,20,Farmer,,Black,,,,false,false,,1,2,
Buskirk,Richard,H.,29,K.,"Springfield, Massachusetts",1/5/1864,Bridgeport,,18,Laborer,Single,Black,,,,false,false,,1,2,
Busky,Joseph,,29,,New Jersey,12/11/1863,Bridgeport,,22,Farmer,Married,Black,,,,false,false,,1,2,
Beesly,James,T.,30,B.,"Beesly Point, New Jersey",2/16/1864,New Haven,New Haven,39,,,Black,,,,true,false,,1,2,
Butcher,Thomas,T.,30,B.,"Delaware City, Delaware",1/26/1864,New Haven,New Haven,24,Farmer,,Black,,,,false,false,,1,2,
Butler,Charles,,30,D.,"Harrisburg, Pennsylvania",2/8/1864,Norwich,,20,Hostler,,Colored,,,,true,false,,1,2,
Butler,Frank,,29,,New York,12/14/1864,Hartford,Glastonbury,21,Waiter,Unmarried,Black,,,,true,false,,1,2,
Butler,John,,30,,Ohio,3/22/1864,Bridgeport,,22,Waiter,Single,Black,,,,true,false,,1,2,
Butler,Joseph,T.,29,,"Duchess County, New York",12/22/1863,Bridgeport,,21,Laborer,Single,Black,,,,true,false,,1,2,
Butler,Samuel,C.,29,G.,"East Hampton, New York",12/29/1863,New Haven,Branford,18,Farmer,,Black,,,,false,false,,1,2,
Butler,William,,29,E.,"Annapolis, Maryland",12/22/1863,Norwich,,24,Farmer,,Colored,,,,false,false,,1,2,
Byass,Edward,,30,D.,Maryland,12/12/1864,Bridgeport,,30,Laborer,Single,,,,,false,false,,1,2,
Caesar,Paul,,29,K.,"Port Jefferson, New York",1/5/1864,Bridgeport,,18,Farmer,Single,Black,,,,false,false,,1,3,
Cain,Harrison,,30,,Canada,11/30/1864,New Haven,Southbury,24,Farmer,,Copper,,,,false,true,Curtis S. Hinman of Southbury,1,3,
Calvel,Martin,,30,B.,Virginia,1/4/1864,Hartford,Glastonbury,21,Farmer,Unmarried,Black,,,,false,false,,1,3,
Camell,George,,29,I.,"Cincinatti, Ohio",1/4/1864,New Haven,,32,Shoemaker,,Black,,,,false,false,,1,3,
Camm,Truman,,29,G.,"Woodbury, Connecticut",1/5/1864,New Haven,,32,Barber,,Black,,,,false,false,,1,3,
Camp,Nathan,,29,C.,"Hartford, Connecticut",1/2/1864,Hartford,Rocky Hill,19,Farmer,Unmarried,Black,,,,false,false,,1,3,
Campbell,Richard,,29,B.,Pennsylvania,12/9/1863,Norwich,,24,Farmer,,Colored,,,,false,false,,1,3,
Camper,Henry,,29,F.,Virginia,12/19/1863,New Haven,Hamden,21,Laborer,,Black,,,,false,false,,1,3,
Camrel,James,,30,B.,"Jamaica, West Indies",1/13/1864,New Haven,East Haven,31,Sailor,,Black,,,,true,false,,1,3,
Cann,Albert,,29,H.,"Delaware, Pennsylvania",12/31/1863,Hartford,Simsbury,21,Farmer,Unmarried,Black,,,,false,false,,1,3,
Cann,Henry,,29,H.,"Dingman, Pennsylvania",12/31/1863,Norwich,,23,Farmer,,Colored,,,,false,false,,1,3,
Cam,Marshal,,29,C.,"Bethlehem, Connecticut",12/14/1863,New Haven,Woodbury,26,Farmer,Married,Black,,,,true,false,,1,3,
Cann,Marshal,,29,C.,"Bethlehem, Connecticut",12/14/1863,New Haven,Woodbury,26,Farmer,,Black,,,,true,false,,1,3,
Cann,William,,29,I.,"Chester County, Pennsylvania",1/2/1864,Norwich,,34,Farmer,,Colored,,,,false,false,,1,3,
Cann,William,H.,29,H.,"Delaware, Pennsylvania",12/31/1863,Hartford,Simsbury,27,Farmer,Married,Black,,,,false,false,,1,3,
Carey,John,,29,H.,"Accomac, Virginia",12/31/ 1863,New Haven,Naugatuck,39,Laborer,,Black,,,,true,false,,1,3,
Carl,George,C.,29,C.,"KinderHook, New York",12/11/1863,Hartford,Suffield,19,Hostler,Unmarried,Black,,,,true,false,,1,3,
Carl,James,,29,E.,"Salisbury, Connecticut",12/22/1863,Bridgeport,,27,Farmer,Married,Black,,,,true,false,,1,3,
